@RELATION EOS_NEOS
@ATTRIBUTE class   {EOS,NEOS}
@ATTRIBUTE R1islower   {1,0}
@ATTRIBUTE L1isTitle   {1,0}
@ATTRIBUTE L1isAbbrevs   {1,0}
@ATTRIBUTE L1isInternal   {1,0}
@ATTRIBUTE L1isTimeterm   {1,0}
@ATTRIBUTE L1isUnlikely   {1,0}
@ATTRIBUTE Comma   {1,0}
@ATTRIBUTE Period   {1,0}
@ATTRIBUTE L1isUpper   {1,0}
@ATTRIBUTE R1isUpper   {1,0}
@ATTRIBUTE L1isNum   {1,0}
@ATTRIBUTE L1R1isQuestionMarkExclamation   {1,0}
@ATTRIBUTE L1P   {1,0}
@ATTRIBUTE R1P   {1,0}
@ATTRIBUTE R1isCommaPeriod   {1,0}
@ATTRIBUTE L1Length   NUMERIC
@ATTRIBUTE R1Length   NUMERIC
@ATTRIBUTE Llength   NUMERIC
@ATTRIBUTE Rlength   NUMERIC
@ATTRIBUTE Nspace   NUMERIC
@DATA
NEOS,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,6,31,47,1
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,5,3,93,0,0
EOS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,4,3,19,17,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,49,25,1
EOS,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,5,2,63,136,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,20,58,1
EOS,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,7,6,210,2,3
EOS,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,4,2,22,9,2
NEOS,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,3,4,21,65,1
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,32,79,2
EOS,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,6,1,39,4,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,60,41,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,8,97,88,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3,102,11,2
EOS,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,7,1,375,19,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,3,40,43,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,66,35,2
NEOS,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,5,21,52,1
EOS,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,3,42,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,8,27,113,2
EOS,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,4,2,38,39,1
NEOS,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,2,9,13,17,1
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,3,19,0,0
EOS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,6,3,20,22,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,19,1,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,3,47,11,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,3,26,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,32,69,1
EOS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,6,4,55,11,1
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,9,47,90,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,12,3,62,0,0
EOS,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,6,1,27,4,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,137,167,2
EOS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,6,3,151,0,0
EOS,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,9,4,125,52,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,53,106,2
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,3,31,20,2
NEOS,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,5,15,68,1
NEOS,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,150,1
EOS,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,4,3,73,0,0
EOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,126,23,2
