@RELATION CATEGORY
@ATTRIBUTE class   {NNHEAD,QUOTED,SIG,#BLANK#,TABLE,GRAPHIC,HEADL,ADDRESS,ITEM,PTEXT}
@ATTRIBUTE blockLen   NUMERIC
@ATTRIBUTE nnheadlikelihood   NUMERIC
@ATTRIBUTE quotedlikelihood   NUMERIC
@ATTRIBUTE signatureImportant   {1,0}
@ATTRIBUTE signaturelikelihood   NUMERIC
@ATTRIBUTE graphiclikelihood   NUMERIC
@ATTRIBUTE tablelikelihood   NUMERIC
@ATTRIBUTE addresslikelihood   NUMERIC
@ATTRIBUTE itemlikelihood   NUMERIC
@ATTRIBUTE headerEndinPeriod   {1,0}
@ATTRIBUTE headerCapitalized   NUMERIC
@ATTRIBUTE headerIndented   NUMERIC
@ATTRIBUTE wordsperline   NUMERIC
@ATTRIBUTE blankperline   NUMERIC
@DATA
NNHEAD,13,6,0.0,0,0.0,0.384615384615,3.78698224852,0.0769230769231,0,0,0.898305084746,1.0,4.53846153846,3.61538461538
NNHEAD,13,6,0.0,0,0.0,0.384615384615,3.78698224852,0.0769230769231,0,0,0.898305084746,1.0,4.53846153846,3.61538461538
NNHEAD,13,6,0.0,0,0.0,0.384615384615,3.78698224852,0.0769230769231,0,0,0.898305084746,1.0,4.53846153846,3.61538461538
NNHEAD,13,6,0.0,0,0.0,0.384615384615,3.78698224852,0.0769230769231,0,0,0.898305084746,1.0,4.53846153846,3.61538461538
NNHEAD,13,6,0.0,0,0.0,0.384615384615,3.78698224852,0.0769230769231,0,0,0.898305084746,1.0,4.53846153846,3.61538461538
NNHEAD,13,6,0.0,0,0.0,0.384615384615,3.78698224852,0.0769230769231,0,0,0.898305084746,1.0,4.53846153846,3.61538461538
NNHEAD,13,6,0.0,0,0.0,0.384615384615,3.78698224852,0.0769230769231,0,0,0.898305084746,1.0,4.53846153846,3.61538461538
NNHEAD,13,6,0.0,0,0.0,0.384615384615,3.78698224852,0.0769230769231,0,0,0.898305084746,1.0,4.53846153846,3.61538461538
NNHEAD,13,6,0.0,0,0.0,0.384615384615,3.78698224852,0.0769230769231,0,0,0.898305084746,1.0,4.53846153846,3.61538461538
NNHEAD,13,6,0.0,0,0.0,0.384615384615,3.78698224852,0.0769230769231,0,0,0.898305084746,1.0,4.53846153846,3.61538461538
NNHEAD,13,6,0.0,0,0.0,0.384615384615,3.78698224852,0.0769230769231,0,0,0.898305084746,1.0,4.53846153846,3.61538461538
NNHEAD,13,6,0.0,0,0.0,0.384615384615,3.78698224852,0.0769230769231,0,0,0.898305084746,1.0,4.53846153846,3.61538461538
NNHEAD,13,6,0.0,0,0.0,0.384615384615,3.78698224852,0.0769230769231,0,0,0.898305084746,1.0,4.53846153846,3.61538461538
HEADL,2,0,0.0,0,0.0,0.5,2.25,0.5,0,0,0.933333333333,14.0,7.5,19.5
HEADL,2,0,0.0,0,0.0,0.5,2.25,0.5,0,0,0.933333333333,14.0,7.5,19.5
HEADL,1,0,0.0,0,0.0,0.0,0.0,0.0,0,0,1.5,27.0,4.0,29.0
PTEXT,4,0,0.0,0,0.0,1.0,1.5,0.5,0,0,0.363636363636,1.0,11.0,10.25
PTEXT,4,0,0.0,0,0.0,1.0,1.5,0.5,0,0,0.363636363636,1.0,11.0,10.25
PTEXT,4,0,0.0,0,0.0,1.0,1.5,0.5,0,0,0.363636363636,1.0,11.0,10.25
PTEXT,4,0,0.0,0,0.0,1.0,1.5,0.5,0,0,0.363636363636,1.0,11.0,10.25
PTEXT,7,0,0.0,0,0.0,0.0,2.85714285714,0.428571428571,0,0,0.285714285714,1.0,11.0,10.2857142857
PTEXT,7,0,0.0,0,0.0,0.0,2.85714285714,0.428571428571,0,0,0.285714285714,1.0,11.0,10.2857142857
PTEXT,7,0,0.0,0,0.0,0.0,2.85714285714,0.428571428571,0,0,0.285714285714,1.0,11.0,10.2857142857
PTEXT,7,0,0.0,0,0.0,0.0,2.85714285714,0.428571428571,0,0,0.285714285714,1.0,11.0,10.2857142857
PTEXT,7,0,0.0,0,0.0,0.0,2.85714285714,0.428571428571,0,0,0.285714285714,1.0,11.0,10.2857142857
PTEXT,7,0,0.0,0,0.0,0.0,2.85714285714,0.428571428571,0,0,0.285714285714,1.0,11.0,10.2857142857
PTEXT,7,0,0.0,0,0.0,0.0,2.85714285714,0.428571428571,0,0,0.285714285714,1.0,11.0,10.2857142857
HEADL,1,0,0.0,0,0.0,0.0,0.0,0.0,0,0,2.0,20.0,6.0,24.0
PTEXT,7,0,0.0,0,0.0,0.0,20.2448979592,0.571428571429,1,0,0.295454545455,1.0,12.5714285714,12.1428571429
PTEXT,7,0,0.0,0,0.0,0.0,20.2448979592,0.571428571429,1,0,0.295454545455,1.0,12.5714285714,12.1428571429
PTEXT,7,0,0.0,0,0.0,0.0,20.2448979592,0.571428571429,1,0,0.295454545455,1.0,12.5714285714,12.1428571429
PTEXT,7,0,0.0,0,0.0,0.0,20.2448979592,0.571428571429,1,0,0.295454545455,1.0,12.5714285714,12.1428571429
PTEXT,7,0,0.0,0,0.0,0.0,20.2448979592,0.571428571429,1,0,0.295454545455,1.0,12.5714285714,12.1428571429
PTEXT,7,0,0.0,0,0.0,0.0,20.2448979592,0.571428571429,1,0,0.295454545455,1.0,12.5714285714,12.1428571429
PTEXT,7,0,0.0,0,0.0,0.0,20.2448979592,0.571428571429,1,0,0.295454545455,1.0,12.5714285714,12.1428571429
PTEXT,8,0,0.0,0,0.0,0.0,15.234375,0.25,0,0,0.268817204301,1.0,11.625,11.0
PTEXT,8,0,0.0,0,0.0,0.0,15.234375,0.25,0,0,0.268817204301,1.0,11.625,11.0
PTEXT,8,0,0.0,0,0.0,0.0,15.234375,0.25,0,0,0.268817204301,1.0,11.625,11.0
PTEXT,8,0,0.0,0,0.0,0.0,15.234375,0.25,0,0,0.268817204301,1.0,11.625,11.0
PTEXT,8,0,0.0,0,0.0,0.0,15.234375,0.25,0,0,0.268817204301,1.0,11.625,11.0
PTEXT,8,0,0.0,0,0.0,0.0,15.234375,0.25,0,0,0.268817204301,1.0,11.625,11.0
PTEXT,8,0,0.0,0,0.0,0.0,15.234375,0.25,0,0,0.268817204301,1.0,11.625,11.0
PTEXT,8,0,0.0,0,0.0,0.0,15.234375,0.25,0,0,0.268817204301,1.0,11.625,11.0
PTEXT,7,0,0.0,0,0.0,0.0,13.1020408163,0.285714285714,1,0,0.283950617284,1.0,11.5714285714,11.1428571429
PTEXT,7,0,0.0,0,0.0,0.0,13.1020408163,0.285714285714,1,0,0.283950617284,1.0,11.5714285714,11.1428571429
PTEXT,7,0,0.0,0,0.0,0.0,13.1020408163,0.285714285714,1,0,0.283950617284,1.0,11.5714285714,11.1428571429
